COMPANY,DESCRIPTION,CITY,CATEGORY,JOINED,FOLLOWERS
Bloggers Network,Influencer agency,Amsterdam,Influencer Marketing,Nov ’16,1
TIM | The Influencers Movement,NaN,Influencer marketing platform,Platform For Influencers,Nov ’16,2
"
Glow Media Group""",International Media Group,Berlin,Beauty,Nov ’16,12
Muses App,An app for businesses and individuals to connect and grow digital presence,Chicago,Influencer Marketing,Nov ’16,10
womade.net,We connect Brands and Influencers,Ischia,Advertising Platforms,Nov ’16,1
Aer Media,New Age Marketing,Mumbai,Social Media Marketing,Nov ’16,1
Wehype,Wehype is an automated influencer marketing platform targeting gaming.,Uppsala,Online Gaming,Oct ’16,3
Postcraft,Performance Influencer Marketing for brands,Los Angeles,Social Media Marketing,Oct ’16,1
Touchbase International,Our vision is that anyone can monetize from their social influence,Hong Kong,Social Media Platforms,Sep ’16,1
3sixtyfive,influencer marketing agency,Amsterdam,Social Media Marketing,Sep ’16,1
TRIBE,Australia's leading tech platform for influencer marketing,Melbourne,Mobile Advertising,Aug ’16,10
NDORSA,The Ultimate Endorsement Marketplace,London,Platform For Influencers,Nov ’16,3
Huckster,The best way for companies to hire influencers,United States,Social Media Marketing,Jun ’16,2
The Dog Agency,The first management agency focusing exclusively on dog influencers,New York City,Influencer Marketing,May ’16,1
VAIN MX,Influencer Incubator,Monterrey,Online Video Advertising,Apr ’16,1
HipMaven,Connecting brands with Instagram influencers,Los Angeles,Influencer Marketing,Mar ’16,2
InfluHub,A self-service cost per click ad platform based on micro-influencers generated content,São Paulo,Advertising Platforms,Mar ’16,1
Wirally.com,Wirally.com is a platform for independent bloggers to get discovered,Hyderabad,Social Media Marketing,Jan ’16,1
Himmi,Influencer communication re-imagined,San Francisco,Messaging,Nov ’15,2
inkefy,Revance from Reach,Cardiff,,Dec ’16,2
DWOM Media,DWOM Media stands for Digital Word Of Mouth. We help brands influence consumer behaviour.,Toronto,Social Media Marketing,Oct ’15,2
Gramercy,turns Instagram likes into store credit,San Francisco,E-Commerce Platforms,Jul ’16,1
Influencer Studios,"Digital first, creative, advertising and media buying agency.",Los Angeles,Social Media Platforms,Aug ’15,2
ServeSpring,Social Media Engagement,New York,Social Media Platforms,Mar ’15,2
Blog Bar,Social Network For Bloggers,New York City,Blogging Platforms,Apr ’16,1
Brandable,Consumer products company that owns and operates influencer fronted brands,Los Angeles,Ecommerce,Apr ’17,1
Setzy,B2B Marketplace to connect Micro Influencers and Brands directly.,San Francisco,Social Media Marketing,May ’17,1
